,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
MT. LEBANON SCHOOL DIST.,MT LEBANON,15216,LINCOLN ELEMENTARY SCHOOL- 2 RALSTON PL. , 2 RALSTON PL. ," 2 RALSTON PL. , MT LEBANON"," 2 RALSTON PL. , MT LEBANON, Pennsylvania, 15216"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15216,LINCOLN ELEMENTARY SCHOOL- 2 RALSTON PL. , 2 RALSTON PL. ," 2 RALSTON PL. , MT LEBANON"," 2 RALSTON PL. , MT LEBANON, Pennsylvania, 15216"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15216,LINCOLN ELEMENTARY SCHOOL- 2 RALSTON PL. , 2 RALSTON PL. ," 2 RALSTON PL. , MT LEBANON"," 2 RALSTON PL. , MT LEBANON, Pennsylvania, 15216"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15216,LINCOLN ELEMENTARY SCHOOL- 2 RALSTON PL. , 2 RALSTON PL. ," 2 RALSTON PL. , MT LEBANON"," 2 RALSTON PL. , MT LEBANON, Pennsylvania, 15216"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15243,THOMAS JEFFERSON MIDDLE SCHOOL- 11 MOFFETT ST., 11 MOFFETT ST.," 11 MOFFETT ST., MT LEBANON"," 11 MOFFETT ST., MT LEBANON, Pennsylvania, 15243"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15216,LINCOLN ELEMENTARY SCHOOL- 2 RALSTON PL. , 2 RALSTON PL. ," 2 RALSTON PL. , MT LEBANON"," 2 RALSTON PL. , MT LEBANON, Pennsylvania, 15216"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MARKHAM ELEMENTARY SCHOOL- 165 CRESCENT DRIVE, 165 CRESCENT DRIVE," 165 CRESCENT DRIVE, MT LEBANON"," 165 CRESCENT DRIVE, MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MARKHAM ELEMENTARY SCHOOL- 165 CRESCENT DRIVE, 165 CRESCENT DRIVE," 165 CRESCENT DRIVE, MT LEBANON"," 165 CRESCENT DRIVE, MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MARKHAM ELEMENTARY SCHOOL- 165 CRESCENT DRIVE, 165 CRESCENT DRIVE," 165 CRESCENT DRIVE, MT LEBANON"," 165 CRESCENT DRIVE, MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MARKHAM ELEMENTARY SCHOOL- 165 CRESCENT DRIVE, 165 CRESCENT DRIVE," 165 CRESCENT DRIVE, MT LEBANON"," 165 CRESCENT DRIVE, MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15243,HOOVER ELEMENTARY SCHOOL- 37 ROBB HOLLOW RD. , 37 ROBB HOLLOW RD. ," 37 ROBB HOLLOW RD. , MT LEBANON"," 37 ROBB HOLLOW RD. , MT LEBANON, Pennsylvania, 15243"
SYNAGOGUE,MT LEBANON,15243,TEMPLE EMANUEL- 1250 BOWERHILLS RD., 1250 BOWERHILLS RD.," 1250 BOWERHILLS RD., MT LEBANON"," 1250 BOWERHILLS RD., MT LEBANON, Pennsylvania, 15243"
SYNAGOGUE,MT LEBANON,15243,TEMPLE EMANUEL- 1250 BOWERHILLS RD., 1250 BOWERHILLS RD.," 1250 BOWERHILLS RD., MT LEBANON"," 1250 BOWERHILLS RD., MT LEBANON, Pennsylvania, 15243"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15243,HOOVER ELEMENTARY SCHOOL- 37 ROBB HOLLOW RD. , 37 ROBB HOLLOW RD. ," 37 ROBB HOLLOW RD. , MT LEBANON"," 37 ROBB HOLLOW RD. , MT LEBANON, Pennsylvania, 15243"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15234,FOSTER SCHOOL- 700 VERMONT AVE. , 700 VERMONT AVE. ," 700 VERMONT AVE. , MT LEBANON"," 700 VERMONT AVE. , MT LEBANON, Pennsylvania, 15234"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15234,FOSTER SCHOOL- 700 VERMONT AVE. , 700 VERMONT AVE. ," 700 VERMONT AVE. , MT LEBANON"," 700 VERMONT AVE. , MT LEBANON, Pennsylvania, 15234"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15234,FOSTER SCHOOL- 700 VERMONT AVE. , 700 VERMONT AVE. ," 700 VERMONT AVE. , MT LEBANON"," 700 VERMONT AVE. , MT LEBANON, Pennsylvania, 15234"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15234,FOSTER SCHOOL- 700 VERMONT AVE. , 700 VERMONT AVE. ," 700 VERMONT AVE. , MT LEBANON"," 700 VERMONT AVE. , MT LEBANON, Pennsylvania, 15234"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MELLON MIDDLE SCHOOL MULTI PURP RM- 11 CASTLE SHANNON BLVD. , 11 CASTLE SHANNON BLVD. ," 11 CASTLE SHANNON BLVD. , MT LEBANON"," 11 CASTLE SHANNON BLVD. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MELLON MIDDLE SCHOOL MULTI PURP RM- 11 CASTLE SHANNON BLVD. , 11 CASTLE SHANNON BLVD. ," 11 CASTLE SHANNON BLVD. , MT LEBANON"," 11 CASTLE SHANNON BLVD. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15234,FOSTER SCHOOL-700 VERMONT AVE. ,700 VERMONT AVE. ,"700 VERMONT AVE. , MT LEBANON","700 VERMONT AVE. , MT LEBANON, Pennsylvania, 15234"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,MARKHAM ELEMENTARY SCHOOL- 165 CRESCENT DR., 165 CRESCENT DR.," 165 CRESCENT DR., MT LEBANON"," 165 CRESCENT DR., MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,WASHINGTON ELEMENTARY SCHOOL- 735 WASHINGTON RD. , 735 WASHINGTON RD. ," 735 WASHINGTON RD. , MT LEBANON"," 735 WASHINGTON RD. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,WASHINGTON ELEMENTARY SCHOOL- 735 WASHINGTON RD. , 735 WASHINGTON RD. ," 735 WASHINGTON RD. , MT LEBANON"," 735 WASHINGTON RD. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,JULIA WARD HOWE ELEMENTARY SCHOOL- 400 BROADMOOR AVE. , 400 BROADMOOR AVE. ," 400 BROADMOOR AVE. , MT LEBANON"," 400 BROADMOOR AVE. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,JULIA WARD HOWE ELEMENTARY SCHOOL- 400 BROADMOOR AVE. , 400 BROADMOOR AVE. ," 400 BROADMOOR AVE. , MT LEBANON"," 400 BROADMOOR AVE. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,JULIA WARD HOWE ELEMENTARY SCHOOL- 400 BROADMOOR AVE. , 400 BROADMOOR AVE. ," 400 BROADMOOR AVE. , MT LEBANON"," 400 BROADMOOR AVE. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,JULIA WARD HOWE ELEMENTARY SCHOOL- 400 BROADMOOR AVE. , 400 BROADMOOR AVE. ," 400 BROADMOOR AVE. , MT LEBANON"," 400 BROADMOOR AVE. , MT LEBANON, Pennsylvania, 15228"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15228,JULIA WARD HOWE ELEMENTARY SCHOOL- 400 BROADMOOR AVE. , 400 BROADMOOR AVE. ," 400 BROADMOOR AVE. , MT LEBANON"," 400 BROADMOOR AVE. , MT LEBANON, Pennsylvania, 15228"
PRIVATE SCHOOL,MT LEBANON,15216,SAINT BERNARD CHURCH HALL- 401 WASHINGTON RD. , 401 WASHINGTON RD. ," 401 WASHINGTON RD. , MT LEBANON"," 401 WASHINGTON RD. , MT LEBANON, Pennsylvania, 15216"
PRIVATE SCHOOL,MT LEBANON,15216,SAINT BERNARD CHURCH HALL- 401 WASHINGTON RD. , 401 WASHINGTON RD. ," 401 WASHINGTON RD. , MT LEBANON"," 401 WASHINGTON RD. , MT LEBANON, Pennsylvania, 15216"
CHURCH/TEMPLE,MT LEBANON,15228,"FIRST CHURCH OF CHRIST,SCIENTIST--1100 WASHINGTON RD",-1100 WASHINGTON RD,"-1100 WASHINGTON RD, MT LEBANON","-1100 WASHINGTON RD, MT LEBANON, Pennsylvania, 15228"
PUBLIC REC CENTERS,MT LEBANON,15228,MT. LEBANON RECREATION CENTER- 900 CEDAR BLVD., 900 CEDAR BLVD.," 900 CEDAR BLVD., MT LEBANON"," 900 CEDAR BLVD., MT LEBANON, Pennsylvania, 15228"
CHURCH/TEMPLE,MT LEBANON,15228,"FIRST CHURCH OF CHRIST,SCIENTIST--1100 WASHINGTON RD",-1100 WASHINGTON RD,"-1100 WASHINGTON RD, MT LEBANON","-1100 WASHINGTON RD, MT LEBANON, Pennsylvania, 15228"
PUBLIC REC CENTERS,MT LEBANON,15228,MT. LEBANON RECREATION CENTER- 900 CEDAR BLVD. , 900 CEDAR BLVD. ," 900 CEDAR BLVD. , MT LEBANON"," 900 CEDAR BLVD. , MT LEBANON, Pennsylvania, 15228"
PUBLIC REC CENTERS,MT LEBANON,15228,MT. LEBANON RECREATION CENTER- 900 CEDAR BLVD. , 900 CEDAR BLVD. ," 900 CEDAR BLVD. , MT LEBANON"," 900 CEDAR BLVD. , MT LEBANON, Pennsylvania, 15228"
CHURCH/TEMPLE,MT LEBANON,15228,"FIRST CHURCH OF CHRIST,SCIENTIST--1100 WASHINGTON RD",-1100 WASHINGTON RD,"-1100 WASHINGTON RD, MT LEBANON","-1100 WASHINGTON RD, MT LEBANON, Pennsylvania, 15228"
BUSINESS,MT OLIVER,15210,"BECKMAN MOTOR CO., INC- 110 PENN AVE. ", 110 PENN AVE. ," 110 PENN AVE. , MT OLIVER"," 110 PENN AVE. , MT OLIVER, Pennsylvania, 15210"
CHURCH/TEMPLE,MT OLIVER,15210,PITTSBURGH CHRISTIAN FELLOWSHIP CHURCH- 407 BROWNSVILLE RD. , 407 BROWNSVILLE RD. ," 407 BROWNSVILLE RD. , MT OLIVER"," 407 BROWNSVILLE RD. , MT OLIVER, Pennsylvania, 15210"
CHURCH/TEMPLE,MT OLIVER,15210,TEMPLE BAPTIST CHURCH- 743 BROWNSVILLE RD. , 743 BROWNSVILLE RD. ," 743 BROWNSVILLE RD. , MT OLIVER"," 743 BROWNSVILLE RD. , MT OLIVER, Pennsylvania, 15210"
CHURCH/TEMPLE,MT OLIVER,15210,TRINITY EVANGELICAL LUTHERAN CHURCH- 601 BROWNSVILLE RD. , 601 BROWNSVILLE RD. ," 601 BROWNSVILLE RD. , MT OLIVER"," 601 BROWNSVILLE RD. , MT OLIVER, Pennsylvania, 15210"
VOL FIRE STATIONS,MUNHALL,15120,MUNHALL V F D #5--1817 WHITAKER WAY,-1817 WHITAKER WAY,"-1817 WHITAKER WAY, MUNHALL","-1817 WHITAKER WAY, MUNHALL, Pennsylvania, 15120"
LIBRARY,MUNHALL,15120,CARNEGIE LIBRARY OF HOMESTEAD- 510 E. 10TH AVE., 510 E. 10TH AVE.," 510 E. 10TH AVE., MUNHALL"," 510 E. 10TH AVE., MUNHALL, Pennsylvania, 15120"
VOL FIRE STATIONS,MUNHALL,15120,#1 ENGINE HOUSE- 1300 MARTHA ST., 1300 MARTHA ST.," 1300 MARTHA ST., MUNHALL"," 1300 MARTHA ST., MUNHALL, Pennsylvania, 15120"
MUNICIPAL OWNED BLDG,MUNHALL,15120,MUNICIPAL BLDG.- 1900 WEST ST., 1900 WEST ST.," 1900 WEST ST., MUNHALL"," 1900 WEST ST., MUNHALL, Pennsylvania, 15120"
CHURCH/TEMPLE,MUNHALL,15120,ANNE ASHLEY MEMORIAL UMC-334 EAST 22ND AVE,334 EAST 22ND AVE,"334 EAST 22ND AVE, MUNHALL","334 EAST 22ND AVE, MUNHALL, Pennsylvania, 15120"
VOL FIRE STATIONS,MUNHALL,15120,#4 FIRE HOUSE-UPSTAIRS- 3401 MAIN ST.,UPSTAIRS- 3401 MAIN ST.,"UPSTAIRS- 3401 MAIN ST., MUNHALL","UPSTAIRS- 3401 MAIN ST., MUNHALL, Pennsylvania, 15120"
VOL FIRE STATIONS,MUNHALL,15120,#4 FIRE HOUSE-DOWNSTAIRS- 3401 MAIN ST.,DOWNSTAIRS- 3401 MAIN ST.,"DOWNSTAIRS- 3401 MAIN ST., MUNHALL","DOWNSTAIRS- 3401 MAIN ST., MUNHALL, Pennsylvania, 15120"
CHURCH/TEMPLE,MUNHALL,15120,HOMESTEAD PARK UNITED METHODIST CHURCH- 4231 SHADY AVE. , 4231 SHADY AVE. ," 4231 SHADY AVE. , MUNHALL"," 4231 SHADY AVE. , MUNHALL, Pennsylvania, 15120"
CHURCH/TEMPLE,MUNHALL,15120,ST RITA PARISH HALL- 201 W. SCHWAB AVE. , 201 W. SCHWAB AVE. ," 201 W. SCHWAB AVE. , MUNHALL"," 201 W. SCHWAB AVE. , MUNHALL, Pennsylvania, 15120"
HI-RISES-PRIVATE APTS,MUNHALL,15120,MUNHALL HOMESTEAD HOUSING ASSOC.- LONGFELLOW DR., LONGFELLOW DR.," LONGFELLOW DR., MUNHALL"," LONGFELLOW DR., MUNHALL, Pennsylvania, 15120"
CHURCH/TEMPLE,MUNHALL,15120,MESSIAH LUTHERAN CHURCH- 4300 MAIN ST. , 4300 MAIN ST. ," 4300 MAIN ST. , MUNHALL"," 4300 MAIN ST. , MUNHALL, Pennsylvania, 15120"
CHURCH/TEMPLE,MUNHALL,15120,ST. ELIAS BYZANTINE CATHOLIC CHURCH- 4200 HOMESTEAD-DUQUESNE RD. , 4200 HOMESTEAD-DUQUESNE RD. ," 4200 HOMESTEAD-DUQUESNE RD. , MUNHALL"," 4200 HOMESTEAD-DUQUESNE RD. , MUNHALL, Pennsylvania, 15120"
VOL FIRE STATIONS,NEVILLE,15225,NEVILLE ISLAND V.F.D.- 5300 GRAND AVE. , 5300 GRAND AVE. ," 5300 GRAND AVE. , NEVILLE"," 5300 GRAND AVE. , NEVILLE, Pennsylvania, 15225"
VOL FIRE STATIONS,NEVILLE,15225,NEVILLE ISLAND V.F.D.- 5300 GRAND AVE. , 5300 GRAND AVE. ," 5300 GRAND AVE. , NEVILLE"," 5300 GRAND AVE. , NEVILLE, Pennsylvania, 15225"
VOL FIRE STATIONS,NEVILLE,15225,NEVILLE ISLAND V.F.D.- 5300 GRAND AVE. , 5300 GRAND AVE. ," 5300 GRAND AVE. , NEVILLE"," 5300 GRAND AVE. , NEVILLE, Pennsylvania, 15225"
VOL FIRE STATIONS,N BRADDOCK,15104,N. BRADDOCK V.F.D. INC.- 1318 WOLFE AVE. , 1318 WOLFE AVE. ," 1318 WOLFE AVE. , N BRADDOCK"," 1318 WOLFE AVE. , N BRADDOCK, Pennsylvania, 15104"
VOL FIRE STATIONS,N BRADDOCK,15104,N. BRADDOCK V.F.D. INC.- 1318 WOLFE AVE. , 1318 WOLFE AVE. ," 1318 WOLFE AVE. , N BRADDOCK"," 1318 WOLFE AVE. , N BRADDOCK, Pennsylvania, 15104"
VOL FIRE STATIONS,N BRADDOCK,15104,N. BRADDOCK V.F.D. INC.- 1318 WOLFE AVE. , 1318 WOLFE AVE. ," 1318 WOLFE AVE. , N BRADDOCK"," 1318 WOLFE AVE. , N BRADDOCK, Pennsylvania, 15104"
MUNICIPAL OWNED BLDG,N BRADDOCK,15104,BOROUGH OF NORTH BRADDOCK- 600 ANDERSON ST. , 600 ANDERSON ST. ," 600 ANDERSON ST. , N BRADDOCK"," 600 ANDERSON ST. , N BRADDOCK, Pennsylvania, 15104"
MUNICIPAL OWNED BLDG,N BRADDOCK,15104,BOROUGH OF NORTH BRADDOCK- 600 ANDERSON ST. , 600 ANDERSON ST. ," 600 ANDERSON ST. , N BRADDOCK"," 600 ANDERSON ST. , N BRADDOCK, Pennsylvania, 15104"
ALL. CO. HOUSING AUTH,N BRADDOCK,15104,GENERAL BRADDOCK TOWERS COMMUNITY ROOM- 620 SIXTH ST, 620 SIXTH ST," 620 SIXTH ST, N BRADDOCK"," 620 SIXTH ST, N BRADDOCK, Pennsylvania, 15104"
ALL. CO. HOUSING AUTH,N BRADDOCK,15104,GENERAL BRADDOCK TOWERS COMMUNITY ROOM- 620 SIXTH ST, 620 SIXTH ST," 620 SIXTH ST, N BRADDOCK"," 620 SIXTH ST, N BRADDOCK, Pennsylvania, 15104"
MUNICIPAL OWNED BLDG,N FAYETTE,15071,NORTH FAYETTE TWP BUILDING- 400 N. BRANCH RD. , 400 N. BRANCH RD. ," 400 N. BRANCH RD. , N FAYETTE"," 400 N. BRANCH RD. , N FAYETTE, Pennsylvania, 15071"
VOL FIRE STATIONS,N FAYETTE,15071,N. FAYETTE VOLUNTEER FIRE CO.- 7678 STEUBENVILLE PIKE, 7678 STEUBENVILLE PIKE," 7678 STEUBENVILLE PIKE, N FAYETTE"," 7678 STEUBENVILLE PIKE, N FAYETTE, Pennsylvania, 15071"
MUNICIPAL AUTHORITY,N FAYETTE,15071,WESTERN ALLEGHENY COUNTY MUNICIPAL AUTHORITY- 403 VIRGINIA DR. , 403 VIRGINIA DR. ," 403 VIRGINIA DR. , N FAYETTE"," 403 VIRGINIA DR. , N FAYETTE, Pennsylvania, 15071"
MUNICIPAL OWNED BLDG,N FAYETTE,15071,NORTH FAYETTE TWP COMMUNITY CENTER- 8042 STEUBENVILLE PIKE , 8042 STEUBENVILLE PIKE ," 8042 STEUBENVILLE PIKE , N FAYETTE"," 8042 STEUBENVILLE PIKE , N FAYETTE, Pennsylvania, 15071"
MUNICIPAL AUTHORITY,N FAYETTE,15071,WESTERN ALLEGHENY COUNTY MUNICIPAL AUTHORITY- 403 VIRGINIA DR. , 403 VIRGINIA DR. ," 403 VIRGINIA DR. , N FAYETTE"," 403 VIRGINIA DR. , N FAYETTE, Pennsylvania, 15071"
CHURCH/TEMPLE,N VERSAILLES,15137,ST. JOHN'S EVANGELICAL LUTHERAN CHURCH- 715 LINCOLN HWY, 715 LINCOLN HWY," 715 LINCOLN HWY, N VERSAILLES"," 715 LINCOLN HWY, N VERSAILLES, Pennsylvania, 15137"
CHURCH/TEMPLE,N VERSAILLES,15137,ST. JOHN'S EVANGELICAL LUTHERAN CHURCH- 715 LINCOLN HWY, 715 LINCOLN HWY," 715 LINCOLN HWY, N VERSAILLES"," 715 LINCOLN HWY, N VERSAILLES, Pennsylvania, 15137"
SENIOR CENTERS,N VERSAILLES,15137,SENIOR CITIZEN BLDG- 1401 GREENSBURG AVE, 1401 GREENSBURG AVE," 1401 GREENSBURG AVE, N VERSAILLES"," 1401 GREENSBURG AVE, N VERSAILLES, Pennsylvania, 15137"
SENIOR CENTERS,N VERSAILLES,15137,SENIOR CITIZEN BLDG- 1401 GREENSBURG AVE, 1401 GREENSBURG AVE," 1401 GREENSBURG AVE, N VERSAILLES"," 1401 GREENSBURG AVE, N VERSAILLES, Pennsylvania, 15137"
PUBLIC SCHOOLS,N VERSAILLES,15137,EAST ALLEGHENY SCHOOL DISTRICT- 1150 JACKS RUN RD. , 1150 JACKS RUN RD. ," 1150 JACKS RUN RD. , N VERSAILLES"," 1150 JACKS RUN RD. , N VERSAILLES, Pennsylvania, 15137"
PUBLIC SCHOOLS,N VERSAILLES,15137,EAST ALLEGHENY SCHOOL DISTRICT- 1150 JACKS RUN RD. , 1150 JACKS RUN RD. ," 1150 JACKS RUN RD. , N VERSAILLES"," 1150 JACKS RUN RD. , N VERSAILLES, Pennsylvania, 15137"
PUBLIC SCHOOLS,N VERSAILLES,15137,GREEN VALLEY VFD 518 OAKHURST AVE.,#VALUE!,#VALUE!,#VALUE!
PUBLIC SCHOOLS,N VERSAILLES,15137,GREEN VALLEY VFD 518 OAKHURST AVE.,#VALUE!,#VALUE!,#VALUE!
SENIOR CENTERS,N VERSAILLES,15137,SENIOR CITIZEN BLDG- 1401 GREENSBURG AVE, 1401 GREENSBURG AVE," 1401 GREENSBURG AVE, N VERSAILLES"," 1401 GREENSBURG AVE, N VERSAILLES, Pennsylvania, 15137"
SENIOR CENTERS,N VERSAILLES,15137,SENIOR CITIZEN BLDG- 1401 GREENSBURG AVE, 1401 GREENSBURG AVE," 1401 GREENSBURG AVE, N VERSAILLES"," 1401 GREENSBURG AVE, N VERSAILLES, Pennsylvania, 15137"
VOL FIRE STATIONS,N VERSAILLES,15137,FIRE DEPARTMENT OF NORTH VERSAILLES STATION 213- 1021 BROAD ST. , 1021 BROAD ST. ," 1021 BROAD ST. , N VERSAILLES"," 1021 BROAD ST. , N VERSAILLES, Pennsylvania, 15137"
VOL FIRE STATIONS,N VERSAILLES,15137,FIRE DEPARTMENT OF NORTH VERSAILLES STATION 213- 1021 BROAD ST. , 1021 BROAD ST. ," 1021 BROAD ST. , N VERSAILLES"," 1021 BROAD ST. , N VERSAILLES, Pennsylvania, 15137"
CHURCH/TEMPLE,N VERSAILLES,15137,MOUNT CARMEL BAPTIST CHURCH- 90 PORT PERRY RD., 90 PORT PERRY RD.," 90 PORT PERRY RD., N VERSAILLES"," 90 PORT PERRY RD., N VERSAILLES, Pennsylvania, 15137"
COMMUNITY CENTER,OAKDALE,15071,OAKDALE COMMUNITY CENTER- 104 SEMINARY AVE. , 104 SEMINARY AVE. ," 104 SEMINARY AVE. , OAKDALE"," 104 SEMINARY AVE. , OAKDALE, Pennsylvania, 15071"
COMMUNITY CENTER,OAKDALE,15071,OAKDALE COMMUNITY CENTER- 104 SEMINARY AVE. , 104 SEMINARY AVE. ," 104 SEMINARY AVE. , OAKDALE"," 104 SEMINARY AVE. , OAKDALE, Pennsylvania, 15071"
PUBLIC SCHOOLS,OAKMONT,15139,TENTH STREET ELEMENTARY SCHOOL- 901 PENNSYLVANIA AVE. , 901 PENNSYLVANIA AVE. ," 901 PENNSYLVANIA AVE. , OAKMONT"," 901 PENNSYLVANIA AVE. , OAKMONT, Pennsylvania, 15139"
PUBLIC SCHOOLS,OAKMONT,15139,TENTH STREET ELEMENTARY SCHOOL- 901 PENNSYLVANIA AVE. , 901 PENNSYLVANIA AVE. ," 901 PENNSYLVANIA AVE. , OAKMONT"," 901 PENNSYLVANIA AVE. , OAKMONT, Pennsylvania, 15139"
MUNICIPAL OWNED BLDG,OAKMONT,15139,OAKMONT BOROUGH MUNICIPAL BUILDING- FIFTH ST. & VIRGINIA AVE., FIFTH ST. & VIRGINIA AVE.," FIFTH ST. & VIRGINIA AVE., OAKMONT"," FIFTH ST. and VIRGINIA AVE., OAKMONT, Pennsylvania, 15139"
CHURCH/TEMPLE,OAKMONT,15139,OAKMONT UNITED METHODIST CHURCH- 419 MARYLAND AVE., 419 MARYLAND AVE.," 419 MARYLAND AVE., OAKMONT"," 419 MARYLAND AVE., OAKMONT, Pennsylvania, 15139"
CHURCH/TEMPLE,OAKMONT,15139,OAKMONT UNITED METHODIST CHURCH- 419 MARYLAND AVE., 419 MARYLAND AVE.," 419 MARYLAND AVE., OAKMONT"," 419 MARYLAND AVE., OAKMONT, Pennsylvania, 15139"
SENIOR CENTERS,OAKMONT,15139,RIVERVIEW COMMUNITY ACTION CORP-501 2ND ST,501 2ND ST,"501 2ND ST, OAKMONT","501 2ND ST, OAKMONT, Pennsylvania, 15139"
HI-RISES-PRIVATE APTS,O'HARA,15238,LIGHTHOUSE POINTE @ CHAPEL HARBOR- 500 CHAPEL HARBOR DR., 500 CHAPEL HARBOR DR.," 500 CHAPEL HARBOR DR., O'HARA"," 500 CHAPEL HARBOR DR., O'HARA, Pennsylvania, 15238"
MUNICIPAL OWNED BLDG,O'HARA,15238,O'HARA TWP MUNICIPAL BUILDING- 325 FOX CHAPEL RD. , 325 FOX CHAPEL RD. ," 325 FOX CHAPEL RD. , O'HARA"," 325 FOX CHAPEL RD. , O'HARA, Pennsylvania, 15238"
PUBLIC SCHOOLS,O'HARA,15215,KERR ELEMENTARY SCHOOL MULTI PURP RM DR-18- 341 KITANNING PIKE,18- 341 KITANNING PIKE,"18- 341 KITANNING PIKE, O'HARA","18- 341 KITANNING PIKE, O'HARA, Pennsylvania, 15215"
PUBLIC SCHOOLS,O'HARA,15215,KERR ELEMENTARY SCHOOL MULTI PURP RM DR-18- 341 KITANNING PIKE,18- 341 KITANNING PIKE,"18- 341 KITANNING PIKE, O'HARA","18- 341 KITANNING PIKE, O'HARA, Pennsylvania, 15215"
VOL FIRE STATIONS,O'HARA,15215,PLEASANT VALLEY V.F.C.- 152 KITTANNING PIKE , 152 KITTANNING PIKE ," 152 KITTANNING PIKE , O'HARA"," 152 KITTANNING PIKE , O'HARA, Pennsylvania, 15215"
VOL FIRE STATIONS,O'HARA,15215,PARKVIEW VOLUNTEER FIRE DEPARTMENT- 726 MIDWAY DR., 726 MIDWAY DR.," 726 MIDWAY DR., O'HARA"," 726 MIDWAY DR., O'HARA, Pennsylvania, 15215"
MUNICIPAL OWNED BLDG,O'HARA,15238,O'HARA TWP MUNICIPAL BUILDING- 325 FOX CHAPEL RD. , 325 FOX CHAPEL RD. ," 325 FOX CHAPEL RD. , O'HARA"," 325 FOX CHAPEL RD. , O'HARA, Pennsylvania, 15238"
PUBLIC SCHOOLS,O'HARA,15215,KERR ELEMENTARY SCHOOL MULTI PURP RM DR-18- 341 KITANNING PIKE,18- 341 KITANNING PIKE,"18- 341 KITANNING PIKE, O'HARA","18- 341 KITANNING PIKE, O'HARA, Pennsylvania, 15215"
PUBLIC SCHOOLS,O'HARA,15238,O'HARA ELEMENTARY SCHOOL- 115 CABIN LANE , 115 CABIN LANE ," 115 CABIN LANE , O'HARA"," 115 CABIN LANE , O'HARA, Pennsylvania, 15238"
PUBLIC SCHOOLS,O'HARA,15238,O'HARA ELEMENTARY SCHOOL- 115 CABIN LANE , 115 CABIN LANE ," 115 CABIN LANE , O'HARA"," 115 CABIN LANE , O'HARA, Pennsylvania, 15238"
COMMUNITY CENTER,OHIO,15143,OHIO TWP NATURE CENTER- 325 NICHOLSON RD. , 325 NICHOLSON RD. ," 325 NICHOLSON RD. , OHIO"," 325 NICHOLSON RD. , OHIO, Pennsylvania, 15143"
COMMUNITY CENTER,OHIO,15143,OHIO TWP NATURE CENTER- 325 NICHOLSON RD. , 325 NICHOLSON RD. ," 325 NICHOLSON RD. , OHIO"," 325 NICHOLSON RD. , OHIO, Pennsylvania, 15143"
VOL FIRE STATIONS,OHIO,15143,OHIO FIRE STATION--1520 ROOSEVELT RD,-1520 ROOSEVELT RD,"-1520 ROOSEVELT RD, OHIO","-1520 ROOSEVELT RD, OHIO, Pennsylvania, 15143"
PUBLIC SCHOOLS,GLEN OSBORNE,15143,OSBOURNE ELEMENTARY SCHOOL- 1414 BEAVER RD. , 1414 BEAVER RD. ," 1414 BEAVER RD. , GLEN OSBORNE"," 1414 BEAVER RD. , GLEN OSBORNE, Pennsylvania, 15143"
CHURCH/TEMPLE,PENN HILLS,15235,HILLTOP COMMUNITY ALLIANCE CHURCH- 104 VINE ST. , 104 VINE ST. ," 104 VINE ST. , PENN HILLS"," 104 VINE ST. , PENN HILLS, Pennsylvania, 15235"
CHURCH/TEMPLE,PENN HILLS,15235,VICTORY TEMPLE DINNING ROOM- 2824 GRAHAM BLVD, 2824 GRAHAM BLVD," 2824 GRAHAM BLVD, PENN HILLS"," 2824 GRAHAM BLVD, PENN HILLS, Pennsylvania, 15235"
